id_bien,date_mandat,type,ville,surface_m2,nb_pieces,etat,dpe,prix,agent,source,statut,date_vente,delai_vente_jours,nb_vues,nb_contacts,commission
1,2025-03-30,Studio,Metz,17,1,Bon,E,48000,Élodie P.,Référence,Vendu,2025-04-30,31,76,7,1912
2,2025-02-18,Appartement,Woippy,57,2,À rafraîchir,D,98000,Camille D.,Référence,Vendu,2025-03-22,32,57,5,3278
3,2024-04-07,Studio,Woippy,33,1,Bon,C,70000,Sofia R.,LeBonCoin,Vendu,2024-05-06,29,80,7,2185
4,2024-12-08,Maison,Montigny,183,7,Travaux,E,430000,Yanis B.,Site agence,Vendu,2025-02-12,66,72,11,13921
5,2025-01-29,Appartement,Montigny,34,1,Bon,D,93000,Élodie P.,Site agence,Vendu,2025-03-21,51,52,4,4119
6,2024-01-25,Terrain,Thionville,533,0,—,—,129000,Marc L.,SeLoger,Vendu,2024-04-06,72,85,10,3857
7,2024-10-27,Studio,Metz,31,1,À rafraîchir,F,78000,Élodie P.,Site agence,Vendu,2024-12-12,46,43,2,2563
8,2025-04-11,Studio,Thionville,29,1,À rafraîchir,F,57000,Élodie P.,SeLoger,Vendu,2025-05-15,34,92,16,2116
9,2024-08-05,Appartement,Nancy,74,3,À rafraîchir,E,148000,Yanis B.,SeLoger,Vendu,2024-08-19,14,100,17,5236
10,2025-04-22,Maison,Montigny,114,4,Rénové,B,388000,Yanis B.,SeLoger,Vendu,2025-06-12,51,80,15,14623
11,2025-06-20,Appartement,Montigny,38,2,À rafraîchir,D,93000,Camille D.,Référence,En cours,,,65,8,3376
12,2024-01-13,Terrain,Metz,777,0,—,—,234000,Élodie P.,Site agence,Vendu,2024-03-22,69,93,10,7074
13,2025-04-27,Maison,Montigny,115,4,Rénové,C,379000,Yanis B.,Site agence,En cours,,,62,10,15213
14,2024-06-24,Studio,Metz,21,1,Rénové,F,62000,Élodie P.,SeLoger,Vendu,2024-08-04,41,76,12,2497
15,2025-03-14,Appartement,Woippy,79,3,Travaux,E,114000,Marc L.,Vitrine,En cours,,,85,5,4009
16,2024-01-23,Appartement,Thionville,110,5,Travaux,B,190000,Marc L.,SeLoger,En cours,,,40,2,6334
17,2024-03-03,Maison,Thionville,78,3,Bon,B,187000,Marc L.,SeLoger,Retiré,,,62,5,6753
18,2025-04-09,Appartement,Metz,53,2,Neuf,D,154000,Sofia R.,Vitrine,En cours,,,53,6,5482
19,2024-05-12,Studio,Montigny,20,1,Bon,E,61000,Sofia R.,SeLoger,Compromis,,,70,13,1979
20,2024-01-29,Maison,Woippy,94,4,Rénové,F,200000,Sofia R.,Référence,Vendu,2024-03-26,57,83,5,5602
21,2025-04-02,Studio,Metz,26,1,Neuf,F,90000,Marc L.,Référence,Compromis,,,72,11,3008
22,2024-11-21,Appartement,Nancy,77,3,Travaux,C,146000,Sofia R.,SeLoger,Vendu,2024-12-23,32,85,11,6132
23,2024-01-19,Terrain,Thionville,1069,0,—,—,234000,Marc L.,Site agence,Vendu,2024-03-16,57,71,11,10232
24,2024-11-16,Studio,Woippy,22,1,Rénové,B,49000,Élodie P.,LeBonCoin,Vendu,2024-12-09,23,77,15,1803
25,2024-03-11,Studio,Montigny,34,1,À rafraîchir,F,77000,Sofia R.,SeLoger,En cours,,,56,5,2619
26,2025-03-26,Appartement,Metz,58,2,Neuf,D,197000,Sofia R.,Référence,Vendu,2025-05-23,58,68,9,6435
27,2024-11-02,Maison,Thionville,186,7,À rafraîchir,G,321000,Sofia R.,SeLoger,Vendu,2024-12-21,49,70,11,12202
28,2024-08-02,Appartement,Woippy,95,4,Bon,B,177000,Marc L.,Référence,Vendu,2024-08-25,23,98,17,6774
29,2025-04-17,Appartement,Nancy,105,4,Bon,D,280000,Yanis B.,Vitrine,Vendu,2025-05-28,41,72,9,9097
30,2024-02-26,Maison,Thionville,198,8,Rénové,E,467000,Yanis B.,Référence,Vendu,2024-04-23,57,73,11,17105
31,2024-11-09,Maison,Thionville,168,6,Bon,D,384000,Yanis B.,LeBonCoin,Vendu,2024-12-23,44,87,9,14636
32,2024-07-03,Terrain,Nancy,294,0,—,—,92000,Marc L.,Référence,Vendu,2024-09-24,83,47,7,3435
33,2024-10-09,Appartement,Montigny,113,5,Bon,C,307000,Élodie P.,LeBonCoin,Vendu,2024-11-16,38,81,11,9036
34,2025-02-16,Appartement,Nancy,39,2,À rafraîchir,F,86000,Élodie P.,Référence,Vendu,2025-04-03,46,50,3,3281
35,2025-03-31,Maison,Nancy,85,3,Bon,D,229000,Sofia R.,Site agence,Vendu,2025-05-17,47,69,12,7854
36,2024-08-07,Appartement,Thionville,102,4,À rafraîchir,E,212000,Marc L.,Référence,Vendu,2024-10-02,56,96,17,6761
37,2024-08-12,Appartement,Metz,82,3,Bon,C,244000,Marc L.,Référence,Vendu,2024-10-09,58,89,11,10359
38,2025-04-23,Maison,Nancy,221,8,À rafraîchir,D,585000,Marc L.,LeBonCoin,Vendu,2025-07-06,74,70,8,21822
39,2025-05-27,Appartement,Metz,35,1,Rénové,D,96000,Camille D.,Référence,Vendu,2025-06-21,25,90,6,3633
40,2024-08-05,Maison,Woippy,144,6,Bon,C,255000,Élodie P.,LeBonCoin,Retiré,,,88,14,7677
41,2024-01-30,Appartement,Woippy,88,4,Bon,E,190000,Marc L.,Vitrine,En cours,,,62,10,8259
42,2024-01-05,Studio,Montigny,24,1,Travaux,C,53000,Sofia R.,Référence,Vendu,2024-02-04,30,75,5,1938
43,2025-01-26,Maison,Metz,121,5,Bon,E,316000,Camille D.,Site agence,Vendu,2025-03-03,36,84,8,11982
44,2024-08-31,Appartement,Woippy,79,3,À rafraîchir,E,138000,Yanis B.,Référence,Vendu,2024-10-16,46,62,5,5923
45,2024-10-30,Studio,Thionville,30,1,À rafraîchir,D,64000,Yanis B.,SeLoger,En cours,,,83,12,2181
46,2024-02-22,Studio,Montigny,24,1,Bon,E,69000,Élodie P.,Vitrine,Vendu,2024-04-08,46,50,3,2415
47,2024-03-13,Appartement,Thionville,108,4,Rénové,B,275000,Élodie P.,SeLoger,En cours,,,74,13,10626
48,2024-11-25,Appartement,Montigny,95,4,Rénové,E,277000,Sofia R.,SeLoger,Vendu,2025-01-23,59,70,10,10787
49,2024-08-28,Maison,Thionville,168,6,Travaux,F,265000,Élodie P.,Référence,Vendu,2024-10-11,44,86,12,8997
50,2025-03-30,Appartement,Montigny,111,5,Travaux,E,220000,Yanis B.,Site agence,Vendu,2025-05-06,37,109,12,9435
51,2024-11-12,Appartement,Thionville,54,2,Bon,C,118000,Camille D.,Référence,Compromis,,,90,6,4338
52,2024-03-18,Appartement,Montigny,39,2,À rafraîchir,B,98000,Sofia R.,Site agence,Vendu,2024-04-16,29,59,4,4143
53,2024-02-10,Studio,Woippy,33,1,Rénové,E,72000,Sofia R.,LeBonCoin,Vendu,2024-03-17,36,65,4,2219
54,2024-09-27,Maison,Metz,158,6,Bon,E,428000,Camille D.,Vitrine,En cours,,,93,5,16683
55,2024-08-18,Maison,Nancy,144,6,Neuf,E,399000,Marc L.,Référence,Vendu,2024-09-28,41,56,9,16843
56,2024-09-22,Studio,Nancy,30,1,À rafraîchir,B,77000,Sofia R.,LeBonCoin,Vendu,2024-11-02,41,66,8,2545
57,2025-02-21,Maison,Nancy,140,5,Neuf,E,469000,Sofia R.,SeLoger,Vendu,2025-05-05,73,60,10,15675
58,2024-08-02,Maison,Montigny,84,3,À rafraîchir,C,227000,Sofia R.,Référence,Vendu,2024-09-23,52,71,8,6293
59,2024-03-07,Appartement,Thionville,85,4,Neuf,C,235000,Élodie P.,Site agence,Vendu,2024-05-03,57,70,13,8951
60,2025-04-16,Appartement,Metz,108,4,Travaux,F,189000,Marc L.,Site agence,En cours,,,60,8,6801
61,2025-03-22,Maison,Metz,158,6,À rafraîchir,A,442000,Marc L.,Site agence,Vendu,2025-05-02,41,44,3,14590
62,2024-07-28,Maison,Metz,160,6,Rénové,D,463000,Marc L.,LeBonCoin,Retiré,,,90,13,18303
63,2024-12-14,Maison,Metz,214,8,Rénové,F,662000,Marc L.,Référence,En cours,,,80,15,26480
64,2025-01-01,Studio,Montigny,27,1,Rénové,B,79000,Camille D.,Référence,Vendu,2025-01-16,15,83,5,2717
65,2024-07-13,Maison,Nancy,78,3,Rénové,D,227000,Yanis B.,LeBonCoin,Compromis,,,71,13,5991
66,2024-03-09,Maison,Metz,169,6,À rafraîchir,E,466000,Marc L.,SeLoger,Compromis,,,72,14,15563
67,2024-11-07,Maison,Metz,222,8,À rafraîchir,C,536000,Élodie P.,Référence,Retiré,,,58,7,14933
68,2024-03-12,Appartement,Woippy,97,4,Bon,C,211000,Sofia R.,SeLoger,Vendu,2024-05-16,65,50,5,7359
